CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE.DESCRIPTION,INSPECTION.DATE,ACTION,VIOLATION.CODE,VIOLATION.DESCRIPTION,CRITICAL.FLAG,SCORE,GRADE,GRADE.DATE,RECORD.DATE,INSPECTION.TYPE,add,lon,lat,geoAddress
40577676,SARABETH'S KITCHEN,MANHATTAN,1295,MADISON AVENUE,10128,2124107335,American,8/15/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,38,,,9/27/17,Cycle Inspection / Initial Inspection,1295 MADISON AVENUE,-73.9556092,40.784769,"1295 madison ave, new york, ny 10128, usa"
50035537,ZONI CAFE,MANHATTAN,41,W 33RD ST,10001,2125645897,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/6/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,1/6/17,9/27/17,Cycle Inspection / Re-inspection,41 W 33RD ST,-73.9869958,40.7488071,"41 west 33rd street, new york, ny 10001, usa"
50001753,CROWN FRIED CHICKEN,MANHATTAN,3351,BROADWAY,10031,2122831957,Chicken,10/14/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,10/14/14,9/27/17,Cycle Inspection / Re-inspection,3351 BROADWAY,-73.955151,40.820755,"3351 broadway, new york, ny 10031, usa"
40383009,CHA CHA'S BACKYARD GARDEN BAR & CAFE,MANHATTAN,113,MULBERRY STREET,10013,2124319755,Italian,3/29/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,B,3/29/17,9/27/17,Cycle Inspection / Re-inspection,113 MULBERRY STREET,-73.9984553,40.7176267,"113 mulberry st, new york, ny 10013, usa"
41373712,TALENT THAI KITCHEN,MANHATTAN,210,EAST 34 STREET,10016,2127258888,Thai,1/10/14,Violations were cited in the following area(s).,20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,Not Critical,NA,,,9/27/17,Administrative Miscellaneous / Re-inspection,210 EAST 34 STREET,-97.7335097,30.2979041,"210 e 34th st, austin, tx 78705, usa"
41385888,AU BON PAIN,MANHATTAN,462,1 AVENUE,10016,2124815426,American,4/15/15,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,9,A,4/15/15,9/27/17,Cycle Inspection / Initial Inspection,462 1 AVENUE,-73.9754977,40.739217,"462 1st avenue, new york, ny 10016, usa"
40385575,VA BENE,MANHATTAN,1589,SECOND AVENUE,10028,2125174448,Jewish/Kosher,12/3/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,,,9/27/17,Cycle Inspection / Initial Inspection,1589 SECOND AVENUE,-73.953673,40.7756779,"1589 2nd ave, new york, ny 10028, usa"
50003770,FULEEN SEAFOOD RESTAURANT,MANHATTAN,11,DIVISION ST,10002,2129416888,Chinese,11/13/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,,,9/27/17,Cycle Inspection / Initial Inspection,11 DIVISION ST,-122.4023465,37.7696425,"11 division st, san francisco, ca 94103, usa"
41405148,LUCE RESTAURANT & ENOTECA,MANHATTAN,2014,BROADWAY,10023,2127241400,Italian,12/9/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,12/9/15,9/27/17,Cycle Inspection / Re-inspection,2014 BROADWAY,-73.9818528,40.7758988,"2014 broadway, new york, ny 10023, usa"
41631799,PARM,MANHATTAN,248,MULBERRY STREET,10012,2129937189,Italian,3/1/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,,,9/27/17,Cycle Inspection / Initial Inspection,248 MULBERRY STREET,-73.9956459,40.723027,"248 mulberry st, new york, ny 10012, usa"
41224985,BENJAMIN STEAK HOUSE,MANHATTAN,52,EAST   41 STREET,10017,2122979177,Steak,12/12/14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,21,,,9/27/17,Cycle Inspection / Initial Inspection,52 EAST   41 STREET,-73.9790474,40.7517244,"52 e 41st st, new york, ny 10017, usa"
40387418,TAL BAGELS DELI,MANHATTAN,975979,FIRST AVENUE,10022,2127539080,Delicatessen,7/26/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,7/26/16,9/27/17,Cycle Inspection / Initial Inspection,975979 FIRST AVENUE,-73.95924,40.763368,"1st avenue, new york, ny, usa"
41187502,SCARPETTA,MANHATTAN,355,WEST 14 STREET,10014,2126910555,Italian,12/17/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,21,,,9/27/17,Cycle Inspection / Initial Inspection,355 WEST 14 STREET,-120.4837963,37.2975294,"301-499 w 14th st, merced, ca 95340, usa"
40750285,CROSSROADS (MARRIOTT MARQUIS),MANHATTAN,1535,BROADWAY,10036,2123981900,American,8/28/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,8/28/14,9/27/17,Cycle Inspection / Initial Inspection,1535 BROADWAY,-73.9862474,40.7586114,"1535 broadway, new york, ny 10036, usa"
50004144,ONE STAR,MANHATTAN,147,W 24TH ST,10011,2127770100,American,1/2/15,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,NA,,,9/27/17,Smoke-Free Air Act / Re-inspection,147 W 24TH ST,-73.9941257,40.7445613,"147 w 24th st, new york, ny 10011, usa"
41573267,SIMPLY FOOD,MANHATTAN,5,WEST   51 STREET,10019,2129776641,American,3/24/15,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,10,A,3/24/15,9/27/17,Cycle Inspection / Initial Inspection,5 WEST   51 STREET,-73.9774833,40.7596076,"5 w 51st st, new york, ny 10020, usa"
41605223,YU SUSHI,MANHATTAN,827,WEST  181 STREET,10033,2127818833,Japanese,9/11/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,,,9/27/17,Cycle Inspection / Initial Inspection,827 WEST  181 STREET,-73.9395154,40.851419,"827 w 181st st, new york, ny 10033, usa"
41310209,Souk & Sandwich,MANHATTAN,117,AVENUE OF THE AMERICAS,10013,2127755665,American,3/17/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/17/17,9/27/17,Cycle Inspection / Initial Inspection,117 AVENUE OF THE AMERICAS,-74.0050268,40.7238104,"117 6th ave, new york, ny 10013, usa"
41682864,JPMC CAFETERIA,MANHATTAN,383,MADISON AVENUE,10179,2122722391,American,10/17/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,10/17/14,9/27/17,Cycle Inspection / Initial Inspection,383 MADISON AVENUE,-73.977089,40.755585,"383 madison avenue, new york, ny 10017, usa"
41721252,SANT AMBROEUS,MANHATTAN,265,LAFAYETTE STREET,10012,2129662770,Italian,6/7/17,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,23,,,9/27/17,Cycle Inspection / Initial Inspection,265 LAFAYETTE STREET,-73.9964476,40.7233607,"265 lafayette st, new york, ny 10012, usa"
50002438,IVAN RAMEN SLURP SHOP,MANHATTAN,600,11TH AVENUE,10036,2125827942,Asian,12/7/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12/7/16,9/27/17,Cycle Inspection / Re-inspection,600 11TH AVENUE,-73.9967579,40.7623377,"600 11th ave, new york, ny 10036, usa"
41623743,EL AGUILA,MANHATTAN,1634,LEXINGTON AVENUE,10029,2124262221,Mexican,4/18/17,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65í‰Œ_ F or above within 2 hours.,Critical,30,,,9/27/17,Cycle Inspection / Initial Inspection,1634 LEXINGTON AVENUE,-73.9477089,40.7905807,"1634 lexington ave, new york, ny 10029, usa"
41085232,ALEXANDRA,MANHATTAN,455,HUDSON STREET,10014,2122553838,American,3/14/13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,42,C,3/14/13,9/27/17,Cycle Inspection / Re-inspection,455 HUDSON STREET,-74.006992,40.731408,"455 hudson st, new york, ny 10014, usa"
40375634,PARIS BLUES,MANHATTAN,2021,7 AVENUE,10027,2122229878,American,1/6/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,1/6/15,9/27/17,Cycle Inspection / Initial Inspection,2021 7 AVENUE,-73.9497982,40.8063634,"2021 adam clayton powell jr blvd, new york, ny 10027, usa"
41291292,DUO TIAN BAKERY,MANHATTAN,118,ELDRIDGE STREET,10002,2129661811,Bakery,6/30/14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,30,C,6/30/14,9/27/17,Cycle Inspection / Re-inspection,118 ELDRIDGE STREET,-73.9916637,40.7184537,"118 eldridge st, new york, ny 10002, usa"
50045810,TOSCANA 49,MANHATTAN,143,E 49TH ST,10017,2122560190,Italian,3/11/16,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,NA,,,9/27/17,Administrative Miscellaneous / Initial Inspection,143 E 49TH ST,-73.9722048,40.7557855,"143 e 49th st, new york, ny 10017, usa"
50032771,WEST SIDE CAFE AND PIZZA,MANHATTAN,218,W 72ND ST,10023,2127699939,American,1/12/17,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,1/12/17,9/27/17,Cycle Inspection / Re-inspection,218 W 72ND ST,-73.9828443,40.7788139,"218 w 72nd st, new york, ny 10023, usa"
50045159,LENWICH,MANHATTAN,940,8TH AVE,10019,2129561080,Sandwiches/Salads/Mixed Buffet,3/20/17,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,19,,,9/27/17,Cycle Inspection / Initial Inspection,940 8TH AVE,-73.9832355,40.7656661,"940 8th ave, new york, ny 10019, usa"
41702710,BENARES,MANHATTAN,45,MURRAY STREET,10007,2127664900,Indian,7/24/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,29,,,9/27/17,Cycle Inspection / Initial Inspection,45 MURRAY STREET,-74.0091724,40.7141993,"45 murray street, new york, ny 10007, usa"
41706542,INASE SUSHI RESTAURANT,MANHATTAN,1586,1 AVENUE,10028,2126281238,Japanese,1/15/16,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,1/15/16,9/27/17,Cycle Inspection / Initial Inspection,1586 1 AVENUE,-73.9507548,40.7745383,"1586 1st avenue, new york, ny 10028, usa"
41154226,LAS RAMBLAS,MANHATTAN,170,WEST    4 STREET,10014,6464157924,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/19/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,22,,,9/27/17,Cycle Inspection / Initial Inspection,170 WEST    4 STREET,-118.2482143,34.0487638,"198-100 w 4th st, los angeles, ca 90013, usa"
40396464,ESS-A-BAGEL,MANHATTAN,831,THIRD AVENUE,10022,2129801010,Bagels/Pretzels,7/16/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/16/15,9/27/17,Cycle Inspection / Initial Inspection,831 THIRD AVENUE,-74.0023284,40.659047,"831 3rd ave, brooklyn, ny 11232, usa"
50067735,JOEY PEPPERONI PIZZA,MANHATTAN,381,BROADWAY,10013,2122193555,Pizza,9/12/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,Not Yet Graded,,9/27/17,Pre-permit (Operational) / Initial Inspection,381 BROADWAY,-71.105288,42.3713435,"381 broadway, cambridge, ma 02139, usa"
50035808,THE BLACK ROSE NY,MANHATTAN,117,AVENUE A,10009,2122530400,American,11/29/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,11/29/16,9/27/17,Cycle Inspection / Initial Inspection,117 AVENUE A,-73.9835325,40.7264209,"117 avenue a, new york, ny 10009, usa"
41547298,FRAUNCES TAVERN,MANHATTAN,54,PEARL STREET,10004,2129681776,American,9/18/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,,9/27/17,Cycle Inspection / Initial Inspection,54 PEARL STREET,-74.0113373,40.7033945,"54 pearl st, new york, ny 10004, usa"
40388214,SCALETTA RISTORANTE,MANHATTAN,50,WEST   77 STREET,10024,2127699191,Italian,3/6/14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,14,,,9/27/17,Cycle Inspection / Initial Inspection,50 WEST   77 STREET,-90.1847916,35.1468936,"50 ar-77, west memphis, ar 72301, usa"
40390696,HAN BAT RESTAURANT,MANHATTAN,53,WEST   35 STREET,10001,2126295588,Korean,4/22/16,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,57,,,9/27/17,Cycle Inspection / Initial Inspection,53 WEST   35 STREET,-117.0973594,32.6501787,"53 w 35th st, national city, ca 91950, usa"
50004339,HINATA RAMEN,MANHATTAN,159,E 55TH ST,10022,2123552974,Japanese,10/3/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,C,10/3/16,9/27/17,Cycle Inspection / Re-inspection,159 E 55TH ST,-73.9688057,40.7592701,"159 e 55th st, new york, ny 10022, usa"
40797452,SUSHI SAMBA #7,MANHATTAN,87,7 AVENUE SOUTH,10014,2126917885,Japanese,7/15/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,7/15/15,9/27/17,Cycle Inspection / Initial Inspection,87 7 AVENUE SOUTH,-74.0031237,40.7326392,"87 7th ave s, new york, ny 10014, usa"
41272855,BOBO RESTAURANT,MANHATTAN,181,WEST   10 STREET,10014,2124882626,American,8/9/16,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,19,B,8/9/16,9/27/17,Cycle Inspection / Re-inspection,181 WEST   10 STREET,-97.7425047,30.2720771,"181 w 10th st, austin, tx 78701, usa"
41688092,CAFE BUUNNI,MANHATTAN,213,PINEHURST AVENUE,10033,2125688700,Cafí€Œ©/Coffee/Tea,9/23/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,13,A,9/23/14,9/27/17,Cycle Inspection / Initial Inspection,213 PINEHURST AVENUE,-73.9376428,40.855234,"213 pinehurst ave, new york, ny 10033, usa"
41233156,FLAVORS,MANHATTAN,27,WHITEHALL STREET,10004,2122696100,American,9/13/17,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,24,,,9/27/17,Cycle Inspection / Initial Inspection,27 WHITEHALL STREET,-74.0126638,40.703459,"27 whitehall st, new york, ny 10004, usa"
50017499,NISI,MANHATTAN,300-302,BLEECKER ST,10014,2127277463,Seafood,7/29/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,18,,,9/27/17,Pre-permit (Operational) / Initial Inspection,300-302 BLEECKER ST,-74.0038562,40.7325031,"302 bleecker st, new york, ny 10014, usa"
50002547,THE SUPPLY HOUSE,MANHATTAN,1647,2 AVENUE,10028,6468613585,American,1/24/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,24,B,1/24/14,9/27/17,Pre-permit (Operational) / Re-inspection,1647 2 AVENUE,-73.952268,40.7775779,"1647 2nd ave, new york, ny 10028, usa"
41405535,TWO BOOTS,MANHATTAN,625,9 AVENUE,10036,2129562668,Pizza,2/26/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,36,,,9/27/17,Cycle Inspection / Initial Inspection,625 9 AVENUE,-95.8537778,41.253168,"625 9th ave, council bluffs, ia 51501, usa"
40862111,LIL FRANKIE'S PIZZA,MANHATTAN,19,1 AVENUE,10003,2124204900,Italian,2/13/15,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,40,,,9/27/17,Cycle Inspection / Initial Inspection,19 1 AVENUE,-73.9885286,40.7236057,"19 1st avenue, new york, ny 10003, usa"
41639970,VIVI BUBBLE TEA,MANHATTAN,170,WEST   23 STREET,10011,9173611798,Chinese,10/29/14,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7,A,10/29/14,9/27/17,Cycle Inspection / Re-inspection,170 WEST   23 STREET,-87.6333745,41.8509642,"152-298 w 23rd st, chicago, il 60616, usa"
41534897,VILLAGE 38,MANHATTAN,575,8 AVENUE,10018,2122447800,American,6/18/15,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,26,,,9/27/17,Cycle Inspection / Initial Inspection,575 8 AVENUE,-84.404959,33.7708857,"575 ga-8, atlanta, ga 30318, usa"
41633665,THE BEAN,MANHATTAN,54,2ND AVE,10003,2122285020,Cafí€Œ©/Coffee/Tea,11/30/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,C,11/30/15,9/27/17,Cycle Inspection / Re-inspection,54 2ND AVE,-73.9895455,40.7255759,"54 2nd ave, new york, ny 10003, usa"
41459208,CHELSEA BAGEL & CAFE,MANHATTAN,139,WEST   14 STREET,10011,2124622435,American,5/12/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,5/12/17,9/27/17,Cycle Inspection / Initial Inspection,139 WEST   14 STREET,-120.4799375,37.2961891,"1-299 w 14th st, merced, ca 95340, usa"
40381420,VILLAGE YOKOCHO,MANHATTAN,6,STUYVESANT STREET,10003,2125983041,Japanese,1/26/16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,,,9/27/17,Cycle Inspection / Initial Inspection,6 STUYVESANT STREET,-75.9022328,42.098143,"6 stuyvesant st, binghamton, ny 13901, usa"
40612297,ISE MENKUI-TEI,MANHATTAN,58,WEST   56 STREET,10019,2127078702,Japanese,5/11/15,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,35,,,9/27/17,Cycle Inspection / Initial Inspection,58 WEST   56 STREET,-80.2845051,25.8731411,"58 w 56th st, hialeah, fl 33012, usa"
41630109,GOLAN HEIGHTS,MANHATTAN,2553,AMSTERDAM AVENUE,10033,2127957842,Jewish/Kosher,5/12/16,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,68,,,9/27/17,Cycle Inspection / Initial Inspection,2553 AMSTERDAM AVENUE,-73.9281685,40.8515059,"2553 amsterdam ave, new york, ny 10033, usa"
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,3/27/14,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,3/27/14,9/27/17,Cycle Inspection / Re-inspection,423 9 AVENUE,-80.153777,26.1266005,"423 nw 9th ave, fort lauderdale, fl 33311, usa"
41629269,MCDONALD'S,MANHATTAN,52,FULTON STREET,10038,2125282930,American,4/3/15,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,5,A,4/3/15,9/27/17,Cycle Inspection / Re-inspection,52 FULTON STREET,-74.0049104,40.7082556,"52 fulton st, new york, ny 10038, usa"
50062852,LILLY'S CRAFT AND KITCHEN,MANHATTAN,675B,9TH AVE,10036,2127570373,American,5/10/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,9/27/17,Pre-permit (Operational) / Initial Inspection,675B 9TH AVE,-73.9907253,40.7614549,"675 9th ave, new york, ny 10036, usa"
50012808,CALLE DAO,MANHATTAN,38,W 39TH ST,10018,9172927233,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/19/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,4/19/16,9/27/17,Cycle Inspection / Re-inspection,38 W 39TH ST,-73.9842217,40.7521591,"38 w 39th st, new york, ny 10018, usa"
50018922,YO SUSHI,MANHATTAN,208,3RD AVE,10003,2126776921,Japanese,3/18/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,,,9/27/17,Cycle Inspection / Initial Inspection,208 3RD AVE,-73.9845054,40.6797071,"208 3rd ave, brooklyn, ny 11217, usa"
40703739,JOSIE WOOD'S PUB,MANHATTAN,11,WAVERLY PLACE,10003,2122289909,American,3/25/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,9/27/17,Cycle Inspection / Initial Inspection,11 WAVERLY PLACE,-73.9940771,40.7301485,"11 waverly pl, new york, ny 10003, usa"
50043436,SUBWAY,MANHATTAN,300,W 135TH ST,10030,2122837526,Sandwiches,1/25/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,1/25/17,9/27/17,Cycle Inspection / Initial Inspection,300 W 135TH ST,-73.9471326,40.8165441,"300 w 135th st, new york, ny 10027, usa"
40370759,CAFE ESPANOL,MANHATTAN,172,BLEECKER STREET,10012,2125050657,Spanish,1/9/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,,,9/27/17,Cycle Inspection / Initial Inspection,172 BLEECKER STREET,-74.0007378,40.7287669,"172 bleecker st, new york, ny 10012, usa"
50015434,GG's,MANHATTAN,511,E 5TH ST,10009,2126873641,American,6/8/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,,,9/27/17,Cycle Inspection / Initial Inspection,511 E 5TH ST,-83.3616048,40.2358635,"511 e 5th st, marysville, oh 43040, usa"
41387793,PAOLA'S,MANHATTAN,1295,MADISON AVENUE,10128,2127941890,Italian,2/16/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/16/16,9/27/17,Cycle Inspection / Initial Inspection,1295 MADISON AVENUE,-73.9556092,40.784769,"1295 madison ave, new york, ny 10128, usa"
40919027,STARBUCKS,MANHATTAN,338,COLUMBUS AVENUE,10023,6465051106,Cafí€Œ©/Coffee/Tea,4/30/15,Violations were cited in the following area(s).,18F,Permit not conspicuously displayed.,Not Critical,NA,,,9/27/17,Administrative Miscellaneous / Initial Inspection,338 COLUMBUS AVENUE,-73.9771568,40.7799594,"338 columbus ave, new york, ny 10023, usa"
50037969,HOA CAFE,MANHATTAN,370,8TH AVE,10001,2126431588,Asian,3/8/16,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,17,,,9/27/17,Cycle Inspection / Initial Inspection,370 8TH AVE,-73.9956509,40.7486475,"370 8th ave, new york, ny 10001, usa"
41705732,BENTON CAFE,MANHATTAN,156,EAST   45 STREET,10017,2129229788,Japanese,3/6/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,35,C,3/6/15,9/27/17,Cycle Inspection / Re-inspection,156 EAST   45 STREET,-73.9733481,40.7527019,"156 e 45th st, new york, ny 10017, usa"
